,Dates,content_scores,title_scores,firstP_scores,stock_label,diff
0,2019-03-11,0.0046769265,0.10023333333333333,0.11296666666666666,1,7.400024
1,2019-03-12,0.012166799999999988,-0.09458,0.11791,0,-3.130005
2,2019-03-13,-0.139486756,-0.31320000000000003,0.071125,1,5.059997
3,2019-03-14,0.0732418188,-0.07212,0.15148,0,-2.490021
4,2019-03-15,0.03440994891666667,-0.07936666666666668,0.05363333333333334,0,-8.080017
5,2019-03-18,0.16129738100000002,0.08502499999999999,0.055900000000000005,0,-6.51001
6,2019-03-19,-0.13025466666666666,-0.03443333333333334,0.0,0,-0.029999
7,2019-03-20,0.06607948350000001,-0.35015,0.03536250000000002,1,3.9100040000000003
8,2019-03-21,-0.0077839994999999995,-0.156225,-0.010999999999999996,1,1.419983
9,2019-03-22,-0.012252228333333332,0.0,-0.27686666666666665,0,-8.049988
10,2019-03-25,0.001827273,-0.3182,-0.2732,1,0.710022
11,2019-03-27,-0.11410468925,-0.19855,-0.1943125,1,6.079987
12,2019-04-01,0.017736363999999998,0.0,0.3182,1,6.559997999999999
13,2019-04-03,-0.06507916650000001,-0.14800000000000002,0.14800000000000002,1,4.489991000000001
14,2019-04-04,-0.03424272437499999,-0.16785624999999998,-0.020637499999999993,1,5.889983999999999
15,2019-04-05,-0.01817889325,0.07400000000000001,0.14800000000000002,1,5.100006
16,2019-04-08,0.12994583333333334,-0.23206666666666667,0.03360000000000004,0,-4.48999
17,2019-04-09,0.020111111000000004,-0.02063333333333332,0.11333333333333334,1,0.660004
