,Dates,content_scores,title_scores,firstP_scores,stock_label,diff
0,2019-03-11,0.03348488593962008,-0.142925,0.11447500000000001,1,7.400024
1,2019-03-12,0.004418473714302905,-0.044939999999999994,-0.21596,0,-3.130005
2,2019-03-13,0.06720000000000001,-0.008350000000000024,-0.064,1,5.059997
3,2019-03-14,0.11361546458837773,0.06570000000000001,0.57455,0,-2.490021
4,2019-03-15,0.10118736111111111,0.1468,0.45339999999999997,0,-8.080017
5,2019-03-18,0.06651688076416339,-0.05000000000000001,-0.14426666666666665,0,-6.51001
6,2019-03-19,0.2154125,0.3182,0.6872,0,-0.029999
7,2019-03-21,0.26532500000000003,0.2732,0.0,1,1.419983
8,2019-03-22,0.19575396825396826,0.33016666666666666,0.28426666666666667,0,-8.049988
9,2019-03-25,0.09580046800697554,0.20800000000000002,0.2647,1,0.710022
10,2019-03-26,-0.14330000000000004,-0.5859,-0.8402,1,3.3299870000000005
11,2019-03-27,0.14199212765957447,0.4989,0.21435,1,6.079987
12,2019-03-29,0.013234545454545447,-0.5124249999999999,-0.022150000000000003,1,1.159973
13,2019-04-01,0.03514980106100796,0.2331,0.24695,1,6.559997999999999
14,2019-04-02,0.17136217105263163,0.4393,0.30195,0,-2.419983
15,2019-04-03,0.15415873745819397,0.20584999999999998,0.11877499999999999,1,4.489991000000001
16,2019-04-04,0.05937670445296409,-0.08880000000000002,0.08141000000000001,1,5.889983999999999
17,2019-04-05,0.18110594771241828,0.38280000000000003,0.39055,1,5.100006
18,2019-04-08,0.0054210317460317336,-0.15463333333333334,-0.029566666666666668,0,-4.48999
19,2019-04-09,0.12275714285714287,0.1901,0.0,1,0.660004
