,Dates,content_scores,title_scores,firstP_scores,stock_label
0,2019-03-11,0.1929724293840017,0.09812857142857144,0.49184285714285714,1
1,2019-03-12,0.21363580043859653,0.0,0.4531,0
2,2019-03-13,0.18146528693857406,0.07955,0.920675,1
3,2019-03-14,0.18591054481061303,-0.0023000000000000104,0.37308749999999996,0
4,2019-03-15,0.17348526896766167,0.082775,0.522375,1
5,2019-03-18,0.24274045542635664,0.17352499999999998,0.648825,1
6,2019-03-19,0.16645211154676437,0.11099999999999999,0.8203142857142857,0
7,2019-03-20,0.1820456152315999,0.10606666666666666,0.8249000000000001,1
8,2019-03-21,0.254537242524917,-0.0086,0.3287,1
9,2019-03-22,0.14213770001791554,0.0,0.40513333333333335,0
10,2019-03-25,0.20266268521744293,0.024391666666666662,0.6879166666666667,1
11,2019-03-26,0.21923847580606481,0.13822857142857142,0.6767000000000001,0
12,2019-03-27,0.3122083022592673,0.27985,0.48329999999999995,0
13,2019-03-28,0.2188858144098683,0.12726666666666667,0.3653666666666667,1
14,2019-03-29,0.29758661140278164,0.1101,0.5750500000000001,0
15,2019-04-01,0.22668627059913268,0.3312,0.8074,1
16,2019-04-02,0.1504434782608696,0.0,0.659,1
17,2019-04-03,0.09928181818181817,0.29600000000000004,0.6124,1
18,2019-04-04,0.17654926505452828,0.16463333333333333,0.6884666666666667,0
19,2019-04-05,0.2574243883023295,0.21230000000000002,0.7517999999999999,0
20,2019-04-08,0.14164782608695653,0.0,0.659,0
21,2019-04-09,0.24082187145789294,0.12726666666666667,0.44806666666666667,1
