,Dates,content_scores,title_scores,firstP_scores,stock_label,diff
0,2019-03-11,-0.05840089927223844,-0.13396666666666665,-0.05833333333333331,1,7.400024
1,2019-03-12,0.07983711069405489,-0.56864,0.175628,0,-3.130005
2,2019-03-13,-0.02455618686868687,-0.02063333333333332,0.05827777777777776,1,5.059997
3,2019-03-14,0.30129266381766384,0.0,0.46040416666666667,0,-2.490021
4,2019-03-15,0.01081489086456707,0.10244285714285715,-0.14643333333333333,0,-8.080017
5,2019-03-18,0.10541132783195797,-0.15175,0.36319999999999997,0,-6.51001
6,2019-03-19,0.10548923809523807,0.08503333333333335,0.11435555555555556,0,-0.029999
7,2019-03-20,0.15968123569794046,-0.14800000000000002,0.16446666666666668,1,3.9100040000000003
8,2019-03-21,0.03497647425249168,0.03340000000000001,-0.00040500000000001646,1,1.419983
9,2019-03-22,0.011176000000000005,-0.5267,0.31845,0,-8.049988
10,2019-03-25,0.15970322580645166,0.0,-0.15503333333333333,1,0.710022
11,2019-03-26,0.2400166666666667,0.0,0.008324999999999999,1,3.3299870000000005
12,2019-03-27,0.032662745098039216,0.0,-0.05125,1,6.079987
13,2019-04-01,0.08434026696329253,0.2553,0.10236666666666663,1,6.559997999999999
14,2019-04-02,0.3655766666666667,0.29600000000000004,0.42405,0,-2.419983
15,2019-04-03,-0.18666666666666665,0.5574,-0.7184,1,4.489991000000001
16,2019-04-04,0.05794034278037389,-0.10033571428571429,-0.07399192176870747,1,5.889983999999999
17,2019-04-05,0.033339687500000006,0.39470000000000005,0.20686249999999998,1,5.100006
18,2019-04-09,-0.15542916666666665,-0.4588,0.5994,1,0.660004
