Dates,Labels,diff,yahoo_content_scores,yahoo_title_scores,yahoo_firstP_scores,businessinsider_content_scores,businessinsider_title_scores,businessinsider_firstP_scores,marketwatch_content_scores,marketwatch_title_scores,marketwatch_firstP_scores,title_scores,firstP_scores,content_scores,title_scores1,firstP_scores1,content_scores1
3/11/19,1,6.859985,0.192972429,0.098128571,0.198933663,0,0,0,0,0,0,0.032709524,0.066311221,0.064324143,0.049064286,0.099466832,0.096486215
3/12/19,0,-3.100006,0.2136358,0,0.054496154,0.209673684,0.1531,0.1677,0.253897326,0.3609,0.277816667,0.171333333,0.16667094,0.225735603,0.07655,0.111098077,0.211654742
3/13/19,1,5.399993,0.181465287,0.07955,0.14230293,0,0,0,0.08184535,0,0.10565,0.026516667,0.082650977,0.087770212,0.039775,0.071151465,0.090732644
3/14/19,0,-1.679993,0.185910545,-0.0023,0.079633397,0.467147059,0.4767,0.23835,0.084191364,-0.0649,0.5594,0.1365,0.292461132,0.245749656,0.2372,0.158991699,0.326528802
3/15/19,1,0.440002,0.173485269,0.082775,0.23465,0,0,0,0,0,0,0.027591667,0.078216667,0.057828423,0.0413875,0.117325,0.086742635
3/18/19,1,0.970001,0.242740455,0.173525,0.163350458,0.230834783,0.6249,0,-0.018162879,-0.2202,0.04900625,0.192741667,0.070785569,0.15180412,0.3992125,0.081675229,0.236787619
3/19/19,0,-7.619995,0.166452112,0.111,0.265086035,0,0,0,0.076611604,-0.152933333,0.10152963,-0.013977778,0.122205222,0.081021239,0.0555,0.132543018,0.083226056
3/20/19,1,16.309997,0.182045615,0.106066667,0.159599206,0,0,0,0.067961194,-0.2023,0,-0.032077778,0.053199735,0.083335603,0.053033334,0.079799603,0.091022808
3/21/19,1,3.869995,0.254537243,-0.0086,0.162294444,0.151468,-0.34,0.0725,0.135568452,0.31845,0.399075,-0.01005,0.211289815,0.180524565,-0.1743,0.117397222,0.203002622
3/22/19,0,-14.940002,0.1421377,0,0.285516667,0,0,0,-0.064473333,0.296,-0.7184,0.098666667,-0.144294444,0.025888122,0,0.142758334,0.07106885
3/25/19,1,7.230011,0.202662685,0.024391667,0.205985693,0,0,0,0.183782774,-0.020466667,0.121242778,0.001308333,0.109076157,0.128815153,0.012195834,0.102992847,0.101331343
3/26/19,0,-7.899994,0.219238476,0.138228571,0.265888095,0,0,0,0.166277439,0.376733333,0.202233333,0.171653968,0.156040476,0.128505305,0.069114286,0.132944048,0.109619238
3/27/19,0,-7.630005,0.312208302,0.27985,0.194658333,0.3444,0.296,0,0.16244157,0,-0.026175,0.19195,0.056161111,0.273016624,0.287925,0.097329167,0.328304151
3/28/19,1,0.119995,0.218885814,0.127266667,0.149294444,0.351192857,0.4215,0,-0.017490123,0.1779,-0.025675,0.242222222,0.041206481,0.184196183,0.274383334,0.074647222,0.285039336
3/29/19,0,-0.600006,0.297586611,0.1101,0.351709375,0,0,0,0,0,0,0.0367,0.117236458,0.099195537,0.05505,0.175854688,0.148793306
4/1/19,1,7.959991,0.226686271,0.3312,0.367973333,0,0,0,0,0,0,0.1104,0.122657778,0.07556209,0.1656,0.183986667,0.113343136
4/2/19,1,1.470001,0.150443478,0,0.252866667,0,0,0,0.191804603,0.034233333,0.377488889,0.011411111,0.210118519,0.114082694,0,0.126433334,0.075221739
4/3/19,1,0.48999,0.099281818,0.296,0.236266667,0,0,0,0.196030108,0.505175,-0.258775,0.267058333,-0.007502778,0.098437309,0.148,0.118133334,0.049640909
4/4/19,0,-2.190002,0.176549265,0.164633333,0.307004444,0.419988235,0,0.5791,0.060665347,-0.34,0.18515,-0.058455556,0.357084815,0.219067616,0.082316667,0.443052222,0.29826875
4/5/19,0,-3.51001,0.257424388,0.2123,0.274964103,0,0,0,0.248981652,0.027533333,0.195177778,0.079944444,0.15671396,0.168802013,0.10615,0.137482052,0.128712194
4/8/19,0,-3.699981,0.141647826,0,0.252866667,0,0,0,0.203972549,0,0.142991667,0,0.131952778,0.115206792,0,0.126433334,0.070823913
4/9/19,1,4.169982,0.240821871,0.127266667,0.32685,0,0,0,0.006213562,0.047525,-0.109629167,0.058263889,0.072406944,0.082345144,0.063633334,0.163425,0.120410936
