dates,url,title,scores
2019-03-13,https://finance.yahoo.com/news/stock-market-news-mar-13-133301394.html,"Stock Market News For Mar 13, 2019",0.10610697674418604
2019-03-19,https://finance.yahoo.com/news/stock-market-news-mar-19-144402752.html,"Stock Market News For Mar 19, 2019",0.32078636363636354
2019-03-14,https://finance.yahoo.com/news/lockheed-martin-wins-84m-deal-130301605.html,Lockheed Martin Wins $84M Deal to Design Missile Technologies,0.4562333333333334
2019-03-25,https://finance.yahoo.com/news/bell-boeing-jv-wins-navy-151303392.html,Bell-Boeing JV Wins Navy Deal to Boost V-22 Tiltrotor Program,0.3438545454545454
2019-03-19,https://finance.yahoo.com/news/general-dynamics-gd-wins-2b-143302251.html,General Dynamics (GD) Wins $2B Submarine Modification Deal,0.4777409090909091
2019-03-21,https://finance.yahoo.com/news/buy-boeing-other-aerospace-defense-211609860.html,Buy Boeing and Other Aerospace-Defense Stocks Despite Trade War Pull Back?,0.22262380952380956
2019-03-13,https://finance.yahoo.com/news/northrop-grumman-support-services-triton-114411162.html,Northrop Grumman to Provide Support Services to Triton UAS,0.49460476190476205
2019-04-09,https://finance.yahoo.com/news/dual-downgrades-tank-boeing-stock-140324235.html,Dual Downgrades Tank Boeing Stock,-0.09358181818181818
2019-03-13,https://finance.yahoo.com/news/bell-boeing-jv-secures-navy-135201291.html,Bell-Boeing JV Secures Navy Deal to Upgrade MV-22 Aircraft,0.2910558823529413
2019-03-14,https://finance.yahoo.com/news/airline-stock-roundup-alk-jblu-153603194.html,"Airline Stock Roundup: ALK & JBLU Q1 RASM Views Cut, Boeing 737 Max Fleet in Focus",0.07868518518518518
2019-03-11,https://news.yahoo.com/boeing-stock-price-falls-ethiopian-133021080.html,Boeing stock price falls after Ethiopian Airlines crash involving 737 MAX 8 plane,-0.16809591836734694
2019-04-08,https://finance.yahoo.com/news/apos-why-boeing-shares-were-212100080.html,Here's Why Boeing Shares Were Down on Monday,-0.09829444444444446
2019-04-05,https://finance.yahoo.com/news/why-boeing-stock-slumped-13-130100290.html,Why Boeing Stock Slumped 13% in March,-0.1441095238095238
2019-03-12,https://finance.yahoo.com/news/why-boeing-stock-dropped-6-163600834.html,Why Boeing Stock Dropped 6.7% Today,0.018204166666666674
2019-03-11,https://finance.yahoo.com/news/why-shares-boeing-fell-friday-142800221.html,Why Shares of Boeing Fell Friday Morning,-0.28546250000000006
2019-03-13,https://finance.yahoo.com/news/737-max-faces-two-fatal-133601108.html,737 Max Faces Two Fatal Crashes: What's in Store for Boeing?,0.061451785714285716
