dates,url,title,scores
2019-03-11,https://www.businessinsider.com/tesla-stock-price-reducing-number-store-closures-raising-prices-2019-3,Tesla slips after saying it's reducing the number of store closures and raising prices (TSLA),-0.059372727272727265
2019-03-15,https://www.businessinsider.com/tesla-stock-price-drops-after-model-y-suv-unveiling-2019-3,Tesla sinks after analysts were underwhelmed by the long-awaited Model Y unveiling (TSLA),-0.12910000000000002
2019-03-13,https://www.businessinsider.com/tesla-lays-off-150-recruitment-employees-2019-3,Tesla just laid off 150 recruitment workers as part of its broader cost cutting (TSLA),0.07289047619047619
2019-03-23,https://www.businessinsider.com/why-model-y-is-teslas-most-important-car-2019-3,Tesla just launched the Model Y — here's why it's the company's most important car (TSLA),0.2220625
2019-04-04,https://www.businessinsider.com/tesla-stock-price-deliveries-fall-short-wall-street-weighs-in-2019-4,Tesla analysts are piling on after disappointing delivery numbers sent the stock plunging (TSLA),0.012975
2019-03-15,https://www.businessinsider.com/tesla-model-y-suv-will-outsell-model-s-model-3-elon-musk-says-2019-3,Elon Musk says Tesla's new Model Y SUV will outsell the Model S and Model 3 combined (TSLA),0.10795531914893618
2019-03-21,https://www.businessinsider.com/tesla-stock-price-gigafactory-fremont-factory-toured-by-analyst-2019-3,A Tesla analyst who just toured the electric-car maker's California and Nevada factories reveals what he saw (TSLA),0.10316249999999999
2019-03-15,https://www.businessinsider.com/elon-musk-wore-tesla-branded-jordan-sneaker-made-from-python-skin-2019-3,Elon Musk wore custom Tesla-branded Jordan sneakers made of python skin at the company's Model Y unveiling (TSLA),-0.14695833333333333
2019-03-15,https://www.businessinsider.com/tesla-model-y-suv-production-timeline-2019-3,"Tesla opens up orders for its long-awaited Model Y SUV, but production won't begin for a while (TSLA)",0.014078947368421054
2019-03-10,https://www.businessinsider.com/teslas-closing-all-its-stores-and-sell-online-might-be-brilliant-2019-3,Tesla's decision to close all its stores and sell cars online only sounds crazy — but it might be brilliant (TSLA),0.3257615384615385
2019-03-16,https://www.businessinsider.com/elon-musk-proves-he-greatest-car-salesman-tesla-model-y-reveal-2019-3,Elon Musk just revealed the Tesla Model Y — and he's still the greatest car salesman who ever lived (TSLA),0.6369
2019-04-10,https://www.businessinsider.com/tesla-analyst-nomura-eberle-compares-company-to-salesforce-2019-4,The latest Wall Street analyst to launch coverage of Tesla says investors should compare it to an unlikely tech giant (TSLA),0.07153571428571429
2019-04-04,https://www.businessinsider.com/sec-reveals-punishment-it-wants-for-elon-musk-2019-4,The SEC revealed the punishment it wants Elon Musk to face if he violates the terms of their settlement in the future (TSLA),-0.06204117647058823
2019-03-17,https://markets.businessinsider.com/news/stocks/tesla-stock-price-fundamental-shift-in-trading-2019-3-1028035861,Tesla's stock doesn't trade like it used to (TSLA),0.05215357142857141
2019-04-10,https://markets.businessinsider.com/news/stocks/tesla-rises-on-news-that-the-tax-credit-may-be-extended-2019-4-1028101148,Tesla pops after news that the tax credit for electric vehicles may be extended (TSLA),0.3818
2019-03-21,https://www.businessinsider.com/stock-market-news-opening-bell-march-21-2019-2019-3,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, TSLA)",-0.03647142857142858
2019-04-08,https://www.businessinsider.com/tesla-lays-off-dozens-of-salespeople-april-2019-4,Tesla laid off dozens of salespeople after its disappointing Q1 delivery report (TSLA),0.0655875
2019-04-01,https://www.businessinsider.com/tesla-hackers-steer-into-oncoming-traffic-with-stickers-on-the-road-2019-4,Hackers steered a Tesla into oncoming traffic by placing three small stickers on the road (TSLA),0.017736363636363637
2019-03-15,https://www.businessinsider.com/tesla-reveals-model-y-details-specs-2019-3,"Elon Musk just unveiled Tesla's newest car, the Model Y SUV (TSLA)",0.0
2019-03-13,https://www.businessinsider.com/stock-market-news-opening-bell-march-13-2019-2019-3,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, BA, TSLA)",0.0
2019-03-13,https://www.businessinsider.com/boeing-stock-price-sliding-after-trump-issues-order-to-ground-the-737-max-2019-3,Boeing is sliding after Trump issued an emergency order to ground the 737 Max planes (TSLA),-0.3818
2019-04-05,https://www.businessinsider.com/elon-musk-ordered-by-judge-to-meet-with-sec-for-at-least-one-hour-2019-4,Judge orders Elon Musk to meet with the SEC 'for at least one hour' (TSLA),-0.06704444444444448
2019-03-19,https://www.businessinsider.com/tesla-delays-3-price-increase-for-cars-until-wednesday-2019-3,Tesla is delaying a 3% price increase until Wednesday (TSLA),0.030736
