,Date,Open,High,Low,Close,Adj Close,Volume,Label,Closeopendiff
0,3/11/19,352,358.980011,350.029999,358.859985,358.859985,5387300,1,6.859985
1,3/12/19,359.369995,360.130005,353.799988,356.269989,356.269989,5164600,0,-3.100006
2,3/13/19,355.809998,362.480011,352.769989,361.209991,361.209991,6444100,1,5.399993
3,3/14/19,360.5,363.839996,358.100006,358.820007,358.820007,5271400,0,-1.679993
4,3/15/19,361.019989,364,358.890015,361.459991,361.459991,8444500,1,0.440002
5,3/18/19,362.470001,370.970001,361.859985,363.440002,363.440002,7194700,1,0.970001
6,3/19/19,366.399994,366.959991,356.799988,358.779999,358.779999,7541400,0,-7.619995
7,3/20/19,358.910004,375.899994,357.01001,375.220001,375.220001,10917200,1,16.309997
8,3/21/19,374,379,370.609985,377.869995,377.869995,8544000,1,3.869995
9,3/22/19,375.950012,376.429993,360.040009,361.01001,361.01001,8661300,0,-14.940002
10,3/25/19,359,367.040009,357.440002,366.230011,366.230011,8473800,1,7.230011
11,3/26/19,367.869995,368.380005,358.019989,359.970001,359.970001,7666500,0,-7.899994
12,3/27/19,361,362.470001,350.369995,353.369995,353.369995,7852400,0,-7.630005
13,3/28/19,354.48999,355.940002,349.200012,354.609985,354.609985,4361000,1,0.119995
14,3/29/19,357.160004,358.25,353.709991,356.559998,356.559998,4705600,0,-0.600006
15,4/1/19,359,368.329987,358.51001,366.959991,366.959991,7036100,1,7.959991
16,4/2/19,366.25,368.420013,362.220001,367.720001,367.720001,5158700,1,1.470001
17,4/3/19,369.26001,373.410004,366.190002,369.75,369.75,5376600,1,0.48999
18,4/4/19,370.070007,372.049988,362.399994,367.880005,367.880005,4627300,0,-2.190002
19,4/5/19,369,369.799988,364.660004,365.48999,365.48999,3905500,0,-3.51001
20,4/8/19,365.109985,365.940002,359.929993,361.410004,361.410004,4653800,0,-3.699981
21,4/9/19,360.540009,366.73999,359,364.709991,364.709991,5433400,1,4.169982
