,Date,Open,High,Low,Close,Adj Close,Volume,Label,Closeopendiff
0,3/11/19,283.519989,291.279999,280.5,290.920013,290.920013,7392300,1,7.400024
1,3/12/19,286.48999,288.070007,281.059998,283.359985,283.359985,7504100,0,-3.130005
2,3/13/19,283.899994,291.98999,282.700012,288.959991,288.959991,6844700,1,5.059997
3,3/14/19,292.450012,295.390015,288.290009,289.959991,289.959991,7103400,0,-2.490021
4,3/15/19,283.51001,283.720001,274.399994,275.429993,275.429993,14785500,0,-8.080017
5,3/18/19,276,278.049988,267.299988,269.48999,269.48999,10281000,0,-6.51001
6,3/19/19,267.5,273.299988,263.459991,267.470001,267.470001,11800600,0,-0.029999
7,3/20/19,269.690002,274.970001,266.299988,273.600006,273.600006,6908200,1,3.910004
8,3/21/19,272.600006,276.450012,268.450012,274.019989,274.019989,5947100,1,1.419983
9,3/22/19,272.579987,272.799988,264,264.529999,264.529999,8745600,0,-8.049988
10,3/25/19,259.709991,263.179993,254.460007,260.420013,260.420013,10215000,1,0.710022
11,3/26/19,264.440002,270.26001,264.429993,267.769989,267.769989,7350900,1,3.329987
12,3/27/19,268.75,275.369995,268.179993,274.829987,274.829987,8779200,1,6.079987
13,3/28/19,277.160004,280.329987,275.100006,278.619995,278.619995,6774100,1,1.459991
14,3/29/19,278.700012,280.160004,274.5,279.859985,279.859985,5991300,1,1.159973
15,4/1/19,282.619995,289.200012,281.279999,289.179993,289.179993,8110400,1,6.559998
16,4/2/19,288.299988,289.440002,283.880005,285.880005,285.880005,5478900,0,-2.419983
17,4/3/19,287.320007,296.170013,287.170013,291.809998,291.809998,7929900,1,4.489991
18,4/4/19,261.890015,271.200012,260.589996,267.779999,267.779999,23720700,1,5.889984
19,4/5/19,269.859985,276.100006,266.109985,274.959991,274.959991,13038300,1,5.100006
20,4/8/19,277.690002,281.160004,270.440002,273.200012,273.200012,10410400,0,-4.48999
21,4/9/19,271.649994,275,269.609985,272.309998,272.309998,5895700,1,0.660004
