Date,Open,High,Low,Close,Adj Close,Volume
2019-03-11,371.269989,402.670013,365.549988,400.010010,400.010010,34742200
2019-03-12,384.709991,390.000000,368.000000,375.410004,375.410004,36922600
2019-03-13,378.429993,381.769989,363.329987,377.140015,377.140015,32662300
2019-03-14,374.989990,380.390015,372.100006,373.299988,373.299988,13514100
2019-03-15,370.880005,385.709991,366.450012,378.989990,378.989990,26697700
2019-03-18,370.000000,373.070007,367.200012,372.279999,372.279999,13119200
2019-03-19,371.140015,378.769989,371.010010,373.429993,373.429993,9856100
2019-03-20,374.700012,380.799988,373.679993,376.160004,376.160004,8737600
2019-03-21,374.040009,377.000000,372.230011,372.700012,372.700012,6951000
2019-03-22,368.790009,369.859985,361.529999,362.170013,362.170013,10143900
2019-03-25,365.000000,371.209991,362.890015,370.459991,370.459991,7939600
2019-03-26,375.579987,375.600006,367.600006,370.380005,370.380005,6479700
2019-03-27,371.890015,376.660004,365.549988,374.209991,374.209991,9600000
2019-03-28,376.600006,376.660004,372.329987,374.440002,374.440002,4921300
2019-03-29,376.519989,382.179993,374.739990,381.420013,381.420013,7694700
2019-04-01,385.799988,392.899994,383.100006,391.540009,391.540009,7735700
2019-04-02,388.500000,394.829987,388.500000,390.750000,390.750000,6401000
2019-04-03,389.679993,391.540009,384.070007,384.739990,384.739990,7350300
2019-04-04,385.989990,397.059998,385.100006,395.859985,395.859985,9388100
2019-04-05,398.070007,398.660004,390.950012,391.929993,391.929993,6857200
2019-04-08,376.200012,379.799988,371.859985,374.519989,374.519989,14482600
2019-04-09,370.290009,372.239990,367.750000,369.040009,369.040009,7974400
